Drag Name,Real Name,Age,Hometown,Season,Finish
Porkchop,Victor Bowling,47,"Raleigh, North Carolina",1,9th
Tammie Brown,Keith Glen Schubert,36,"Los Angeles, California",1,8th
Akashia,Eric Flint,32,"Cleveland, Ohio",1,7th
Jade Sotomayor,David Sotomayor,32,"Chicago, Illinois",1,6th
Ongina,Ryan Ong Palao,26,"Los Angeles, California",1,5th
Shannel,Bryan Watkins,26,"Las Vegas, Nevada",1,4th
Rebecca Glasscock,Javier Rivera,26,"Fort Lauderdale, Florida",1,3rd
Nina Flowers,Jorge Luis Flores Sanchez,34,"Bayamón, Puerto Rico",1,Runner-up
BeBe Zahara Benet,Nea Marshall Kudi Ngwa,28,"Minneapolis, Minnesota",1,Winner
Shangela Laquifa Wadley,D.J. Pierce,28,"Paris, Texas",2,12th
Nicole Paige Brooks,Bryan Christopher Pryor,36,"Atlanta, Georgia",2,11th
Mystique Summers Madison,Donté Sims,25,"Chicago, Illinois",2,10th
Sonique,Kylie Sonique Love,26,"Atlanta, Georgia",2,9th
Morgan McMichaels,Thomas White,28,"Mira Loma, California",2,8th
Sahara Davenport,Antoine Ashley,25,"New York, New York",2,7th
Jessica Wild,José David Sierra,29,"San Juan, Puerto Rico",2,6th
Pandora Boxx,Michael Steck,37,"Rochester, New York",2,5th
Tatianna,Joey Santolini,21,"Falls Church, Virginia",2,4th
Jujubee,Airline Inthyrath,25,"Boston, Massachusetts",2,3rd
Raven,David Petruschin,30,"Riverside, California",2,Runner-up
Tyra Sanchez,James Ross,21,"Orlando, Florida",2,Winner
Venus D-Lite,,26,"Los Angeles, California",3,13th
Phoenix,,29,"Atlanta, Georgia",3,12th
Mimi Imfurst,Braden Chapman,27,"New York, New York",3,11th
India Ferrah,,23,"Dayton, Ohio",3,10th
Mariah,,29,"Atlanta, Georgia",3,9th
Stacy Layne Matthews,,25,"Back Swamp, North Carolina",3,8th
Delta Work,,34,"Norwalk, California",3,7th
Carmen Carrera,Carmen Carrera,25,"Elmwood Park, New Jersey",3,6th
Shangela Laquifa Wadley,D.J. Pierce,29,"Paris, Texas",3,5th
Yara Sofia,Gabriel Burgos Ortiz,26,"Manatí, Puerto Rico",3,4th
Alexis Mateo,Alexis Mateo Pacheco,30,"Saint Petersburg, Florida",3,3rd
Manila Luzon,Karl Westerberg,28,"Cottage Grove, Minnesota",3,Runner-up
Raja,Sutan Amrull,36,"Los Angeles, California",3,Winner
Alisa Summers,,23,"Tampa, Florida",4,13th
Lashauwn Beyond,,21,"Fort Lauderdale,Florida",4,12th
The Princess,,32,"Chicago, Illinois",4,11th
